Enemy,HP,MP,Attack,Defense,Magic,Speed,Level,Gold,EXP,Food1,Chance,Food2,chance,Food3,Chance,,,,,,,,,,,,,,,,
Mimit4,30,0,26,10,0,13,6,30,22,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Slime0,10,0,7,7,0,6,1,0,9,Slime00,100,Slime01,0,Slime02,0,,,,,,,,,,,,,,,,
Butterfly0,11,0,10,9,0,11,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Butterfly0_1,18,0,12,9,14,6,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Butterfly0_2,18,0,12,9,14,6,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Goblin0,25,0,15,5,0,6,1,8,2,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Goblin0_Dish,25,0,15,6,0,8,1,8,2,Goblin00,100,Goblin01,0,Goblin02,0,,,,,,,,,,,,,,,,
Mushroom0,34,0,23,12,1,0,13,2,12,5,Mushroom00,45,Mushroom01,5,Mushroom02,0,,,,,,,,,,,,,,,
Cloud0,23,0,4,2,9999,8,2,26,6,Cloud00,45,Cloud01,5,Cloud02,0,,,,,,,,,,,,,,,,
Mimit0,75,0,50,18,0,100,1,500,0,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Rock1,68,0,19,10,0,11,7,0,35,Rock00,0,Rock01,80,Rock02,20,,,,,,,,,,,,,,,,
Butterfly4,35,0,15,10,0,6,7,0,10,Butterfly00,0,Butterfly01,80,Butterfly02,20,,,,,,,,,,,,,,,,
Devil6,230,0,33,18,14,18,7,0,40,Devil00,0,Devil01,80,Devil02,20,,,,,,,,,,,,,,,,
Mouse2,70,0,19,10,0,17,0,10,Mouse00,0,Mouse01,80,Mouse02,20,,,,,,,,,,,,,,,,,
Banshee0,45,0,30,18,0,15,4,38,16,Banshee00,45,Banshee01,5,Banshee02,0,,,,,,,,,,,,,,,,
Mole0,50,0,38,10,0,18,4,40,20,Mole00,45,Mole01,5,Mole02,0,,,,,,,,,,,,,,,,
Butterfly1,54,0,35,20,22,17,5,65,25,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Golem0,530,0,53,28,0,9,9,0,100,Golem00,0,Golem01,80,Golem02,20,,,,,,,,,,,,,,,,
Rock0,55,0,40,37,0,2,5,110,45,Rock00,45,Rock01,5,Rock02,0,,,,,,,,,,,,,,,,
Cloud1,75,0,50,19,23,11,5,126,32,Cloud00,45,Cloud01,5,Cloud02,0,,,,,,,,,,,,,,,,
Griffon0,370,0,52,15,0,12,8,170,120,Griffon00,10,Griffon01,40,Griffon02,0,,,,,,,,,,,,,,,,
Griffon0_Boss,530,0,58,23,0,10,8,0,120,Griffon00,0,Griffon01,80,Griffon02,20,,,,,,,,,,,,,,,,
EatPlant0,80,0,47,25,0,24,9,144,58,EatPlant00,30,EatPlant01,20,EatPlant02,5,,,,,,,,,,,,,,,,
Devil0,90,0,60,25,0,25,6,140,65,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Devil1_Boss,540,0,70,22,0,19,11,0,120,Devil00,0,Devil01,80,Devil02,20,,,,,,,,,,,,,,,,
GoblinMagic,65,0,53,25,25,13,7,153,72,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Gorilla0,630,0,62,37,20,15,13,0,500,Gorilla00,0,Gorilla01,0,Gorilla02,100,,,,,,,,,,,,,,,,
Slime1,17,0,20,5,0,10,3,10,20,Slime00,13,Slime01,1,Slime02,0,,,,,,,,,,,,,,,,
Cactus0,21,0,16,7,0,20,2,13,13,Cactus00,45,Cactus01,5,Cactus02,0,,,,,,,,,,,,,,,,
Scorpion0,14,0,18,9,0,10,1,15,4,Scorpion00,45,Scorpion01,5,Scorpion02,0,,,,,,,,,,,,,,,,
Mural0,35,0,19,8,0,10,3,30,15,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mural1,40,0,19,8,0,10,4,18,20,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mole1,85,0,45,12,0,20,5,55,18,Mole00,45,Mole01,5,Mole02,0,,,,,,,,,,,,,,,,
Mimit7,75,0,43,29,0,100,11,0,0,Mimit00,60,Mimit01,30,Mimit02,10,,,,,,,,,,,,,,,,
Cobra1,50,0,28,13,0,15,4,30,30,Cobra00,45,Cobra01,5,Cobra02,0,,,,,,,,,,,,,,,,
Fossil0,50,30,26,12,0,17,5,45,20,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Fossil1,69,0,35,18,0,20,5,65,25,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
GoblinRed,50,0,31,16,0,22,4,25,24,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Minotaur0,460,35,55,22,21,20,10,300,250,Minotaur00,10,Minotaur01,40,Minotaur02,0,,,,,,,,,,,,,,,,
Minotaur0_Boss,320,0,35,20,16,16,10,0,250,Minotaur00,0,Minotaur01,80,Minotaur02,20,,,,,,,,,,,,,,,,
Scorpion1,50,0,45,23,0,12,1,85,26,Scorpion00,45,Scorpion01,5,Scorpion02,0,,,,,,,,,,,,,,,,
Hieroglyph0,45,0,40,20,100,35,7,120,25,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mummy0,90,0,35,24,9,27,10,80,41,Mummy00,45,Mummy01,5,Mummy02,0,,,,,,,,,,,,,,,,
Painting0,420,0,53,29,15,30,9,100,300,Painting00,0,Painting01,80,Painting02,20,,,,,,,,,,,,,,,,
Cobra2,70,0,42,10,24,0,10,160,45,Cobra00,45,Cobra01,5,Cobra02,0,,,,,,,,,,,,,,,,
Rock2,90,0,52,24,0,24,8,103,42,Rock00,45,Rock01,5,Rock02,0,,,,,,,,,,,,,,,,
Shield0,480,0,40,28,0,14,10,0,150,Shield00,0,Shield01,80,Shield02,20,,,,,,,,,,,,,,,,
Sword0,420,0,55,23,0,14,10,0,150,Sword00,0,Sword01,80,Sword02,20,,,,,,,,,,,,,,,,
Pharaoh0,1090,0,64,40,0,16,13,0,500,Pharaoh00,0,Pharaoh01,0,Pharaoh02,100,,,,,,,,,,,,,,,,
Cactus2,69,0,36,24,0,13,8,98,40,Cactus00,45,Cactus01,5,Cactus02,0,,,,,,,,,,,,,,,,
EatPlant1,55,0,40,24,0,22,8,150,42,EatPlant00,30,EatPlant01,20,EatPlant02,5,,,,,,,,,,,,,,,,
Cobra0,470,0,45,17,0,20,8,0,400,Cobra00,0,Cobra01,0,Cobra02,100,,,,,,,,,,,,,,,,
Painting1,420,0,43,19,12,10,11,0,300,Painting00,0,Painting01,80,Painting02,20,,,,,,,,,,,,,,,,
Golem3,300,0,62,22,0,12,7,75,70,Golem00,45,Golem01,5,Golem02,0,,,,,,,,,,,,,,,,
Butterfly5,21,0,20,8,0,15,1,4,15,Butterfly00,15,Butterfly01,1,Butterfly02,0,,,,,,,,,,,,,,,,
Fossil3,26,0,20,12,0,5,3,8,18,Hieroglyph00,15,Hieroglyph01,1,Hieroglyph02,0,,,,,,,,,,,,,,,,
Fluff2,16,0,19,10,0,15,1,8,3,Fluff00,45,Fluff01,5,Fluff02,0,,,,,,,,,,,,,,,,
Turkey0,14,0,22,7,0,12,1,12,4,Turkey00,45,Turkey01,5,Turkey02,0,,,,,,,,,,,,,,,,
Tomato2,25,0,16,9,0,20,2,24,7,Tomato00,45,Tomato01,5,Tomato02,0,,,,,,,,,,,,,,,,
GoblinFairy,20,0,18,9,0,20,3,30,12,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Spider1,40,0,38,10,0,22,4,26,14,Spider00,45,Spider01,5,Spider02,0,,,,,,,,,,,,,,,,
Mushroom1,30,35,12,0,20,5,38,15,Mushroom00,45,Mushroom01,5,Mushroom02,0,,,,,,,,,,,,,,,,,
Fluff1,34,0,26,13,0,20,6,43,23,Fluff00,45,Fluff01,5,Fluff02,0,,,,,,,,,,,,,,,,
Spider0,440,0,60,20,0,26,10,0,200,Spider00,0,Spider01,80,Spider02,20,,,,,,,,,,,,,,,,
Gremlin0,75,0,55,18,20,22,7,110,36,Gremlin00,45,Gremlin01,5,Gremlin02,0,,,,,,,,,,,,,,,,
Banshee2,75,0,50,22,0,30,7,160,32,Banshee00,22,Banshee01,20,Banshee02,3,,,,,,,,,,,,,,,,
EatPlant2,90,0,1,20,0,10000,7,140,34,EatPlant00,30,EatPlant01,20,EatPlant02,5,,,,,,,,,,,,,,,,
Owl0,660,0,66,30,0,20,5,0,150,Owl00,0,Owl01,80,Owl02,20,,,,,,,,,,,,,,,,
Tomato0,450,0,40,20,20,16,8,0,250,Tomato00,0,Tomato01,80,Tomato02,20,,,,,,,,,,,,,,,,
Butterfly2,620,65,18,26,10,10,0,250,Butterfly00,0,Butterfly01,0,Butterfly02,100,,,,,,,,,,,,,,,,,
Slime6,650,0,56,35,0,50,10,0,300,Slime00,0,Slime01,0,Slime02,100,,,,,,,,,,,,,,,,
Fluff0,60,0,50,21,0,25,7,96,48,Fluff00,45,Fluff01,5,Fluff02,0,,,,,,,,,,,,,,,,
Owl1,80,0,53,35,0,10,8,175,53,Owl00,45,Owl01,5,Owl02,0,,,,,,,,,,,,,,,,
Snail0,30,0,30,36,0,5,8,100,72,Snail00,45,Snail01,5,Snail02,0,,,,,,,,,,,,,,,,
Tadpole0,69,0,58,26,0,17,8,150,62,Tadpole00,30,Tadpole01,20,Tadpole02,5,,,,,,,,,,,,,,,,
Frog0,809,0,66,25,33,13,13,0,500,Frog00,0,Frog01,0,Frog02,100,,,,,,,,,,,,,,,,
Devil2,120,0,30,30,10000,10000,6,66,66,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Wind1,65,0,62,28,17,25,7,150,80,Wind00,45,Wind01,5,Wind02,0,,,,,,,,,,,,,,,,
Slime4,400,0,78,35,0,25,6,0,200,Slime00,0,Slime01,0,Slime02,100,,,,,,,,,,,,,,,,
Bomb0,50,0,65,60,85,18,10,155,138,Bomb00,45,Bomb01,5,Bomb02,0,,,,,,,,,,,,,,,,
Cobra3,190,0,64,28,45,40,13,260,180,Cobra00,45,Cobra01,5,Cobra02,0,,,,,,,,,,,,,,,,
Devil3,200,0,69,22,38,36,10,360,220,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Griffon2,180,0,79,21,20,35,10,280,162,Griffon00,45,Griffon01,5,Griffon02,0,,,,,,,,,,,,,,,,
IronBall0,170,0,85,32,0,50,9,190,126,IronBall00,45,IronBall01,5,IronBall02,0,,,,,,,,,,,,,,,,
Mummy1,100,0,69,22,41,6,7,145,110,Mummy00,45,Mummy01,5,Mummy02,0,,,,,,,,,,,,,,,,
Skeleton0,75,0,69,40,0,6,9,120,103,Skeleton00,45,Skeleton01,5,Skeleton02,0,,,,,,,,,,,,,,,,
Wind2,180,0,62,22,46,25,12,180,155,Wind00,45,Wind01,5,Wind02,0,,,,,,,,,,,,,,,,
Armor0,1100,0,74,56,0,18,10,0,500,Armor00,0,Armor01,0,Armor02,100,,,,,,,,,,,,,,,,
Cerberus0,1480,0,85,37,37,38,13,0,700,Cerberus00,0,Cerberus01,0,Cerberus02,100,,,,,,,,,,,,,,,,
Cloud2,800,0,70,30,27,22,9,0,500,Cloud00,0,Cloud01,0,Cloud02,100,,,,,,,,,,,,,,,,
Demon0,1230,0,83,36,0,30,10,0,900,Demon00,0,Demon01,0,Demon02,100,,,,,,,,,,,,,,,,
Dragon0,1400,0,74,45,26,29,35,0,1200,Dragon00,0,Dragon01,45,Dragon02,0,,,,,,,,,,,,,,,,
Dragon0Demo0,320,0,66,25,14,28,13,0,1200,Dragon00,0,Dragon01,0,Dragon02,0,,,,,,,,,,,,,,,,
Golem4,690,0,73,32,16,15,10,0,600,Golem00,0,Golem01,80,Golem02,20,,,,,,,,,,,,,,,,
Minotaur1,275,0,78,36,32,33,14,0,320,Minotaur00,45,Minotaur01,5,Minotaur02,0,,,,,,,,,,,,,,,,
Painting4,1000,0,76,34,23,26,12,0,900,Painting00,0,Painting01,80,Painting02,20,,,,,,,,,,,,,,,,
Satan0,2300,0,103,37,36,28,18,0,2000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
Shield1,280,0,52,56,0,12,10,0,350,Shield00,0,Shield01,0,Shield02,100,,,,,,,,,,,,,,,,
Sword1,210,0,75,26,0,12,10,0,350,Sword00,0,Sword01,0,Sword02,100,,,,,,,,,,,,,,,,
Devil1,160,0,72,27,0,20,5,140,180,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Mimit1,5,0,90,10000,10000,100,1,0,2000,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Devil5,110,0,90,35,0,15,10,0,220,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Butterfly6,22,0,40,18,0,30,10,200,32,Butterfly00,15,Butterfly01,1,Butterfly02,0,,,,,,,,,,,,,,,,
Bread1,85,0,70,20,0,24,14,280,380,Bread00,45,Bread01,5,Bread02,0,,,,,,,,,,,,,,,,
Mimit3,15,0,150,10000,10000,100,1,0,20000,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Mushroom2,105,0,68,28,0,29,14,320,300,Mushroom00,22,Mushroom01,20,Mushroom02,3,,,,,,,,,,,,,,,,
Nose0,180,0,99,35,40,30,14,300,420,Nose00,45,Nose01,5,Nose02,0,,,,,,,,,,,,,,,,
Penguin0,140,0,89,40,0,30,14,330,330,Penguin00,45,Penguin01,5,Penguin02,0,,,,,,,,,,,,,,,,
Banshee1,200,0,100,42,48,40,14,280,360,Banshee00,45,Banshee01,5,Banshee02,0,,,,,,,,,,,,,,,,
Snowman0,150,0,80,42,0,30,14,300,370,Snowman00,45,Snowman01,5,Snowman02,0,,,,,,,,,,,,,,,,
Mole2,480,0,155,95,0,58,28,320,1360,Mole00,22,Mole01,20,Mole02,3,,,,,,,,,,,,,,,,
Crystal0,220,0,113,110,0,52,28,450,1080,Crystal00,45,Crystal01,5,Crystal02,0,,,,,,,,,,,,,,,,
Yeti0,1800,0,120,30,35,28,16,0,1500,Gorilla00,0,Gorilla01,0,Gorilla02,100,,,,,,,,,,,,,,,,
Skeleton1,170,0,105,40,0,40,16,260,520,Skeleton00,45,Skeleton01,5,Skeleton02,0,,,,,,,,,,,,,,,,
Cactus1,260,0,100,35,0,38,18,235,330,Cactus00,22,Cactus01,20,Cactus02,3,,,,,,,,,,,,,,,,
Hieroglyph1,180,0,115,45,0,40,18,300,280,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Slime5,180,,102,30,0,30,14,330,450,Slime00,45,Slime01,5,Slime02,0,,,,,,,,,,,,,,,,
Hammer0,230,0,130,28,45,50,18,240,440,Hammer00,45,Hammer01,5,Hammer02,0,,,,,,,,,,,,,,,,
Armor1,280,0,140,80,0,32,15,320,390,Armor00,45,Armor01,5,Armor02,0,,,,,,,,,,,,,,,,
Dog0,1800,0,130,52,150,40,19,0,1680,Dog00,0,Dog01,0,Dog02,100,,,,,,,,,,,,,,,,
Cloud3,260,0,100,40,25,13,16,440,390,Cloud00,45,Cloud01,5,Cloud02,0,,,,,,,,,,,,,,,,
GoblinRobot,160,0,100,40,0,43,16,380,480,Goblin00,22,Goblin01,20,Goblin02,3,,,,,,,,,,,,,,,,
Lizardman0,240,0,125,45,46,46,16,555,450,Lizardman00,45,Lizardman01,5,Lizardman02,0,,,,,,,,,,,,,,,,
Penguin1,199,0,120,50,0,48,21,0,670,Penguin00,45,Penguin01,5,Penguin02,0,,,,,,,,,,,,,,,,
Robot0,2300,0,135,55,110,40,19,900,1800,Robot00,0,Robot01,0,Robot02,100,,,,,,,,,,,,,,,,
Scorpion2,200,0,120,80,0,49,20,440,680,Scorpion00,22,Scorpion01,20,Scorpion02,3,,,,,,,,,,,,,,,,
Robot1,180,0,114,44,0,34,16,420,410,Robot00,45,Robot01,5,Robot02,0,,,,,,,,,,,,,,,,
Burger0,1500,0,134,65,0,50,18,0,1500,Burger00,0,Burger01,0,Burger02,100,,,,,,,,,,,,,,,,
IceQueen0,2000,0,130,65,39,37,21,0,2200,IceQueen00,0,IceQueen01,80,IceQueen02,20,,,,,,,,,,,,,,,,
Mouse1,900,0,133,69,0,40,19,0,1450,Mouse00,45,Mouse01,5,Mouse02,0,,,,,,,,,,,,,,,,
Puppet0,1100,0,140,55,45,42,19,0,1820,Puppet00,0,Puppet01,0,Puppet02,100,,,,,,,,,,,,,,,,
Ufo1,1900,0,122,55,0,55,19,0,1700,Ufo00,0,Ufo01,0,Ufo02,100,,,,,,,,,,,,,,,,
Slime2,80,0,90,44,0,38,15,80,120,Slime00,13,Slime01,1,Slime02,0,,,,,,,,,,,,,,,,
Alien0,250,0,148,55,0,69,18,850,1100,Alien00,45,Alien01,5,Alien02,0,,,,,,,,,,,,,,,,
Banshee3,240,0,110,65,90,40,17,420,710,Banshee00,45,Banshee01,5,Banshee02,0,,,,,,,,,,,,,,,,
Bomb1,160,0,130,65,50,30,17,505,420,Bomb00,45,Bomb01,5,Bomb02,0,,,,,,,,,,,,,,,,
Butterfly3,220,0,100,35,40,30,17,445,400,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Crystal1,280,0,115,55,0,45,17,550,680,Crystal00,45,Crystal01,5,Crystal02,0,,,,,,,,,,,,,,,,
GoblinSpace,250,0,130,70,0,50,18,480,620,Goblin00,22,Goblin01,20,Goblin02,3,,,,,,,,,,,,,,,,
Gremlin1,240,0,135,45,35,35,17,620,1010,Gremlin00,45,Gremlin01,5,Gremlin02,0,,,,,,,,,,,,,,,,
Medusa0,270,0,112,45,0,55,18,400,860,Medusa00,45,Medusa01,5,Medusa02,0,,,,,,,,,,,,,,,,
Owl2,260,0,132,50,0,55,18,510,640,Owl00,45,Owl01,5,Owl02,0,,,,,,,,,,,,,,,,
Pharaoh1,2600,0,132,60,0,40,26,800,1800,Pharaoh00,0,Pharaoh01,80,Pharaoh02,20,,,,,,,,,,,,,,,,
Rock3,269,0,137,70,0,45,21,630,820,Rock00,45,Rock01,5,Rock02,0,,,,,,,,,,,,,,,,
Satan1,2700,0,125,60,56,30,20,1000,2000,Satan00,0,Satan01,80,Satan02,20,,,,,,,,,,,,,,,,
Serpent0,280,0,135,53,50,32,18,580,1240,Serpent00,45,Serpent01,5,Serpent02,0,,,,,,,,,,,,,,,,
Shield2,200,0,116,61,0,36,19,595,400,Shield00,45,Shield01,5,Shield02,0,,,,,,,,,,,,,,,,
Snail1,240,0,99,69,0,34,17,440,880,Snail00,45,Snail01,5,Snail02,0,,,,,,,,,,,,,,,,
Spider2,242,0,120,40,0,23,17,390,960,Spider00,45,Spider01,5,Spider02,0,,,,,,,,,,,,,,,,
SuperSatanBit0,180,0,145,65,18,60,26,0,0,Satan00,0,Satan01,50,Satan02,50,,,,,,,,,,,,,,,,
SuperSatanCenter0,4100,0,149,47,50,50,26,0,0,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
SuperSatanLeft0,1250,0,110,52,28,12,26,0,0,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
SuperSatanRight0,1500,0,90,33,40,12,26,0,0,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Sword2,250,0,134,36,45,42,17,760,1150,Sword00,45,Sword01,5,Sword02,0,,,,,,,,,,,,,,,,
Ufo0,225,0,115,52,0,36,40,715,990,Ufo00,45,Ufo01,5,Ufo02,0,,,,,,,,,,,,,,,,
Demon1,300,0,158,46,0,40,17,300,1620,Demon00,45,Demon01,5,Demon02,0,,,,,,,,,,,,,,,,
Devil4,888,0,190,30,10000,10000,6,680,1000,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Mimit2,777,0,240,150,0,60,1,20000,0,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Frog1,1800,0,130,69,52,50,23,0,2000,Frog00,33,Frog01,33,Frog02,34,,,,,,,,,,,,,,,,
Golem5,1450,0,130,70,0,18,20,960,1600,Golem00,0,Golem01,80,Golem02,20,,,,,,,,,,,,,,,,
Gorilla1,1450,0,121,60,42,26,26,800,1800,Gorilla00,0,Gorilla01,80,Gorilla02,20,,,,,,,,,,,,,,,,
Tadpole1,900,0,125,36,0,40,17,0,400,Tadpole00,33,Tadpole01,33,Tadpole02,34,,,,,,,,,,,,,,,,
Fluff6,58,0,88,33,0,24,18,120,220,Fluff00,15,Fluff01,1,Fluff02,0,,,,,,,,,,,,,,,,
Fluff3,300,33,190,75,0,33,26,370,460,Fluff00,45,Fluff01,5,Fluff02,0,,,,,,,,,,,,,,,,
Snail2,300,33,165,130,0,25,26,700,920,Snail00,22,Snail01,20,Snail02,3,,,,,,,,,,,,,,,,
